type,ev
401(k),126810
Stock Options,148417
401(k),143303
Paid Time Off,187223
401(k),51712
401(k),122057
Remote Work,71506
Remote Work,176935
Health Insurance,74018
Health Insurance,80394
401(k),128967
Remote Work,118342
Health Insurance,85512
401(k),63066
401(k),177757
401(k),131675
Health Insurance,136107
Stock Options,67986
Health Insurance,179991
401(k),181234
Stock Options,135370
Remote Work,90575
Stock Options,140667
Health Insurance,184728
Paid Time Off,184879
401(k),85998
Stock Options,190761
Paid Time Off,166339
401(k),57325
Stock Options,199403
401(k),78993
401(k),185491
401(k),181384
401(k),183322
401(k),147335
Remote Work,98566
Paid Time Off,133681
401(k),106550
401(k),179075
Paid Time Off,56399
Stock Options,175925
401(k),69217
Remote Work,89596
401(k),145544
Paid Time Off,144341
Remote Work,128684
Remote Work,138261
401(k),149082
Health Insurance,97059
Stock Options,194816
401(k),62287
Remote Work,103805
401(k),184564
Stock Options,73935
Paid Time Off,113295
401(k),189434
401(k),113156
Paid Time Off,195361
Paid Time Off,159857
401(k),169034
Paid Time Off,71662
Stock Options,137639
Remote Work,175457
Paid Time Off,80962
Health Insurance,63306
Remote Work,108342
401(k),86490
401(k),171773
Remote Work,196341
401(k),132794
401(k),143366
Remote Work,199486
401(k),95444
Health Insurance,98053
Stock Options,71888
401(k),104376
401(k),177608
401(k),95213
401(k),63224
401(k),131536
401(k),96219
Remote Work,164983
Stock Options,64124
401(k),62482
401(k),94802
Stock Options,177456
401(k),79226
Remote Work,176749
401(k),60968
401(k),55768
401(k),79407
Remote Work,195844
401(k),168596
401(k),163956
Paid Time Off,134025
Remote Work,138397
401(k),89773
Stock Options,191879
Health Insurance,89504
401(k),122215
Paid Time Off,145737
401(k),171769
401(k),57309
Remote Work,151204
401(k),85020
401(k),164342
401(k),148002
Health Insurance,171911
Stock Options,62376
401(k),163851
Paid Time Off,66745
Remote Work,67395
Health Insurance,136687
Health Insurance,180017
401(k),65545
401(k),65656
Stock Options,186067
401(k),119503
Paid Time Off,171376
401(k),69811
Health Insurance,188622
401(k),199984
401(k),166626
401(k),51184
401(k),132597
Stock Options,113618
Health Insurance,181634
Health Insurance,140711
Remote Work,63606
401(k),113052
401(k),131073
Paid Time Off,90080
Paid Time Off,192809
401(k),175075
401(k),127929
Health Insurance,51397
401(k),112736
Health Insurance,165107
401(k),71153
401(k),115812
401(k),183383
401(k),168615
401(k),169538
Paid Time Off,83277
Health Insurance,71876
Remote Work,154816
Stock Options,184324
Stock Options,57624
401(k),106959
Stock Options,61341
Stock Options,158967
401(k),83287
Paid Time Off,70506
Health Insurance,143421
401(k),159198
401(k),120143
Stock Options,101122
Paid Time Off,124172
401(k),80130
Remote Work,163252
Paid Time Off,97268
401(k),181439
Health Insurance,119456
Paid Time Off,101950
Health Insurance,127906
401(k),124644
401(k),154131
Remote Work,156603
Health Insurance,154858
401(k),193441
401(k),190104
Remote Work,57382
Remote Work,81800
Paid Time Off,165679
Health Insurance,74666
Health Insurance,153107
401(k),199826
Remote Work,72265
Stock Options,139544
Paid Time Off,199681
401(k),130648
Stock Options,188907
Stock Options,80439
Health Insurance,54247
Health Insurance,158741
Paid Time Off,134310
401(k),149028
Stock Options,193669
401(k),89826
401(k),175052
Stock Options,136921
Remote Work,70614
401(k),130499
Health Insurance,176088
Health Insurance,196064
Health Insurance,69697
Health Insurance,122002
Stock Options,142623
401(k),67913
Health Insurance,89629
401(k),173681
401(k),182778
Stock Options,123465
401(k),100313
401(k),110558
401(k),101957
401(k),162496
Remote Work,132691
401(k),135324
Stock Options,185628
Remote Work,188631
401(k),155110
Health Insurance,195222
Stock Options,191027
Paid Time Off,181345
401(k),163367
Stock Options,144511
Paid Time Off,143954
401(k),54164
Health Insurance,54663
401(k),129515
Paid Time Off,171143
Remote Work,50567
Paid Time Off,67005
401(k),150862
Stock Options,147933
Remote Work,68727
401(k),157431
401(k),92011
401(k),86081
401(k),145371
Stock Options,110056
Paid Time Off,140607
401(k),112938
401(k),85104
Paid Time Off,61939
401(k),61375
401(k),132575
Health Insurance,158123
Remote Work,135916
Remote Work,137290
401(k),122334
Remote Work,94462
401(k),148183
Stock Options,74578
Health Insurance,182186
Remote Work,74661
Stock Options,154207
401(k),140192
401(k),152762
401(k),109514
Remote Work,169964
Paid Time Off,123141
401(k),137987
401(k),165118
Remote Work,196137
Remote Work,85918
401(k),111990
Stock Options,75268
401(k),197408
Stock Options,67138
Stock Options,78580
Health Insurance,131118
Health Insurance,134955
Stock Options,177345
401(k),105153
Remote Work,52954
Health Insurance,197116
401(k),171041
Stock Options,72167
401(k),167085
401(k),181643
Remote Work,63535
Remote Work,122286
Stock Options,136027
401(k),154660
401(k),193595
401(k),186994
401(k),116388
Health Insurance,97087
401(k),113595
Remote Work,68859
Health Insurance,92439
Paid Time Off,101415
Remote Work,93387
401(k),67468
Remote Work,114652
401(k),87496
Health Insurance,139897
Stock Options,166872
401(k),180609
401(k),160020
Paid Time Off,140447
401(k),62870
401(k),167296
401(k),140156
Health Insurance,73072
401(k),147108
401(k),101549
Paid Time Off,81240
Health Insurance,98331
Stock Options,176731
401(k),138987
Remote Work,95730
Remote Work,56182
Remote Work,174443
Stock Options,195339
401(k),127923
Health Insurance,81335
401(k),132467
401(k),167457
401(k),118307
Health Insurance,124401
Health Insurance,64384
401(k),95646
Remote Work,177386
401(k),129369
Health Insurance,140091
Stock Options,99816
Health Insurance,133918
401(k),163969
401(k),176370
401(k),116598
401(k),194418
401(k),145794
Paid Time Off,97433
Paid Time Off,104425
401(k),86796
Paid Time Off,69396
Stock Options,116457
Health Insurance,68604
401(k),133832
401(k),66974
401(k),138625
Stock Options,59832
401(k),88770
401(k),130747
401(k),136979
401(k),141288
Health Insurance,61512
401(k),146126
401(k),143032
401(k),85625
401(k),122933
401(k),87781
401(k),106674
Remote Work,107671
401(k),128260
Health Insurance,163454
401(k),183944
Health Insurance,134556
401(k),55641
Stock Options,145111
401(k),100303
Stock Options,195013
Stock Options,154012
Remote Work,190455
401(k),186734
Stock Options,138920
401(k),99729
Remote Work,116504
401(k),55800
401(k),176149
Stock Options,172228
Stock Options,115719
401(k),122408
401(k),189842
Paid Time Off,146963
401(k),97147
Health Insurance,148286
401(k),114510
401(k),165386
401(k),138726
Stock Options,137258
401(k),150369
Paid Time Off,160215
Remote Work,176373
401(k),68073
401(k),186247
401(k),188042
Paid Time Off,161642
401(k),156478
401(k),76379
401(k),50202
Health Insurance,93519
Health Insurance,96550
401(k),188728
401(k),155326
401(k),165043
401(k),134776
401(k),66881
Paid Time Off,174991
401(k),99902
401(k),141970
Paid Time Off,158165
401(k),64004
Stock Options,194596
Remote Work,83146
Stock Options,94572
401(k),161554
401(k),96127
Health Insurance,62094
401(k),84320
401(k),130520
Health Insurance,162457
Health Insurance,154588
Paid Time Off,194073
401(k),93527
Paid Time Off,193710
Paid Time Off,177510
401(k),186850
Paid Time Off,59479
Remote Work,159467
401(k),182330
401(k),185056
401(k),134055
401(k),150034
Paid Time Off,151914
401(k),156196
401(k),195225
401(k),153512
401(k),191997
Health Insurance,196803
401(k),193558
Health Insurance,156289
Remote Work,108208
Stock Options,183404
401(k),139622
401(k),121400
Remote Work,83631
Health Insurance,150401
Health Insurance,173345
401(k),63255
Paid Time Off,194826
401(k),161414
Stock Options,87530
401(k),186149
Health Insurance,115132
Stock Options,83019
Remote Work,76995
Stock Options,95530
401(k),193113
Remote Work,114268
401(k),117399
Paid Time Off,80971
Stock Options,55773
401(k),84144
Health Insurance,89480
401(k),125665
Paid Time Off,152302
Health Insurance,129836
401(k),155944
401(k),195902
Health Insurance,78324
401(k),164752
401(k),139107
401(k),118806
Paid Time Off,119567
Paid Time Off,152435
401(k),170598
401(k),108796
Stock Options,75271
401(k),111322
401(k),83265
Health Insurance,191806
401(k),165743
401(k),188425
401(k),107992
401(k),123080
Stock Options,196116
Health Insurance,174577
Paid Time Off,97307
Health Insurance,99148
401(k),62746
Stock Options,55798
401(k),113211
401(k),52931
Paid Time Off,136668
401(k),99671
401(k),152434
Health Insurance,62370
Health Insurance,122779
Remote Work,169159
401(k),181570
Remote Work,100272
401(k),71337
Health Insurance,151110
Remote Work,172372
Health Insurance,165022
401(k),163640
401(k),136685
401(k),157646
Paid Time Off,192760
Paid Time Off,120050
401(k),80795
401(k),71576
401(k),93847
401(k),143929
401(k),160631
Stock Options,122029
401(k),185144
401(k),95541
Remote Work,198720
401(k),56328
401(k),105105
Paid Time Off,104947
Remote Work,192758
401(k),125553
Health Insurance,134983
401(k),69125
401(k),79303
Remote Work,167284
Paid Time Off,148615
401(k),56589
Stock Options,128586
401(k),56639
401(k),80511
401(k),141932
Stock Options,174280
401(k),52090
Remote Work,184490
401(k),53121
Remote Work,198694
Stock Options,86433
401(k),97100
Remote Work,73593
Stock Options,192818
401(k),166324
Stock Options,121739
401(k),88438
Paid Time Off,185153
Paid Time Off,96959
401(k),151143
Health Insurance,139319
Health Insurance,54954
Paid Time Off,128122
401(k),60639
Remote Work,174768
Health Insurance,51914
401(k),112456
Remote Work,72848
Paid Time Off,57019
Stock Options,190926
401(k),170403
401(k),105305
Paid Time Off,154765
401(k),95465
Health Insurance,114044
Paid Time Off,144854
Health Insurance,52253
Remote Work,88527
401(k),158936
401(k),163133
Paid Time Off,93613
Remote Work,117122
Remote Work,83767
401(k),88983
401(k),66030
Health Insurance,197306
401(k),75187
Remote Work,186813
Stock Options,171975
401(k),90235
401(k),55345
401(k),52733
Health Insurance,194611
401(k),68890
Paid Time Off,140680
401(k),114041
401(k),85204
401(k),143221
401(k),136750
Remote Work,77033
401(k),96408
401(k),77738
401(k),69837
401(k),191049
Remote Work,63643
401(k),100706
Health Insurance,131361
401(k),122560
401(k),144003
Remote Work,161635
Stock Options,82477
Remote Work,70428
401(k),130452
Paid Time Off,77171
401(k),188003
Stock Options,58505
Health Insurance,199795
401(k),106397
401(k),150818
Health Insurance,152935
Paid Time Off,99329
Remote Work,74762
401(k),172018
Stock Options,66882
401(k),177085
Paid Time Off,55905
Stock Options,195996
Health Insurance,106743
401(k),74613
401(k),165724
Paid Time Off,171013
Remote Work,86319
401(k),52466
Remote Work,108143
401(k),72449
Health Insurance,113602
401(k),72585
401(k),67251
Health Insurance,149010
Stock Options,86777
Health Insurance,133404
Remote Work,90910
401(k),148997
401(k),65316
Paid Time Off,57720
401(k),152560
Remote Work,75378
401(k),88525
401(k),70497
401(k),73636
401(k),58918
Remote Work,127278
401(k),132216
401(k),89178
Paid Time Off,68517
Paid Time Off,62387
Paid Time Off,77940
401(k),158638
401(k),130867
401(k),146272
401(k),125538
Stock Options,129250
401(k),139227
401(k),158964
401(k),120802
401(k),71531
Stock Options,170946
401(k),181042
401(k),73837
401(k),168727
401(k),163798
Stock Options,91196
Stock Options,167741
Paid Time Off,61719
Remote Work,177996
401(k),86249
401(k),80627
401(k),128730
Paid Time Off,181629
Remote Work,163557
Remote Work,95248
Stock Options,60004
401(k),126133
Paid Time Off,106070
Health Insurance,142946
Remote Work,160280
401(k),137762
401(k),93016
Health Insurance,71451
401(k),157233
401(k),52885
401(k),129282
Paid Time Off,106062
401(k),125974
401(k),116592
401(k),122396
Remote Work,107009
401(k),70816
Remote Work,55037
401(k),175059
Stock Options,73623
Remote Work,76573
Remote Work,86861
Stock Options,183049
401(k),149654
401(k),145108
Remote Work,81012
Paid Time Off,163580
401(k),160273
401(k),108644
Paid Time Off,140160
401(k),187729
Stock Options,155578
Health Insurance,181607
Stock Options,122645
401(k),93197
Health Insurance,125506
401(k),160067
Stock Options,84913
401(k),60205
401(k),169710
Paid Time Off,158836
Health Insurance,139137
401(k),111902
401(k),152912
Paid Time Off,110047
Stock Options,72966
Stock Options,129463
401(k),149797
401(k),171871
401(k),67044
401(k),184870
Stock Options,187242
Stock Options,135528
401(k),170943
401(k),74297
401(k),120156
Paid Time Off,155011
401(k),87671
Stock Options,81090
Stock Options,66081
401(k),99616
Stock Options,170231
Stock Options,161229
401(k),135259
401(k),131054
401(k),61702
401(k),110758
401(k),101648
401(k),89868
401(k),73031
Health Insurance,189791
Paid Time Off,129840
Paid Time Off,162320
401(k),70381
401(k),198564
401(k),167802
Health Insurance,128015
Health Insurance,122848
Stock Options,163736
401(k),147685
Health Insurance,88445
401(k),179758
Paid Time Off,178894
Stock Options,77016
401(k),176916
Paid Time Off,82791
Remote Work,127185
Stock Options,80648
401(k),157746
401(k),106727
Paid Time Off,88164
Stock Options,181400
Stock Options,106982
Stock Options,198750
401(k),104564
Stock Options,173670
401(k),187877
Stock Options,106353
Health Insurance,180558
401(k),105880
401(k),173003
Paid Time Off,116820
Paid Time Off,159551
Paid Time Off,152458
401(k),91010
401(k),179223
401(k),52674
Paid Time Off,126734
Health Insurance,94621
Remote Work,128871
401(k),131058
Paid Time Off,93903
401(k),105419
401(k),51130
Paid Time Off,55304
401(k),94559
Stock Options,96103
Stock Options,154954
401(k),129285
Health Insurance,172784
401(k),69755
Remote Work,155440
Paid Time Off,182385
401(k),84529
Paid Time Off,127145
Health Insurance,116268
Paid Time Off,80908
Health Insurance,155352
Remote Work,76555
Stock Options,104363
Stock Options,195369
401(k),143173
401(k),169791
401(k),180333
Remote Work,128917
401(k),61701
Stock Options,176262
Paid Time Off,159881
401(k),187974
Stock Options,106504
401(k),55291
Health Insurance,133783
Remote Work,192134
Paid Time Off,75617
Health Insurance,120992
Remote Work,113278
Remote Work,185793
Health Insurance,110036
Remote Work,175579
Remote Work,109356
401(k),132158
Health Insurance,101379
401(k),156842
401(k),150480
Stock Options,68109
Paid Time Off,149268
Remote Work,64141
Stock Options,61388
Remote Work,65089
401(k),116820
401(k),190033
401(k),108896
Remote Work,94237
Health Insurance,85412
Paid Time Off,64278
Stock Options,108639
Health Insurance,104161
Health Insurance,93307
401(k),138065
Stock Options,137320
401(k),183318
Stock Options,187647
Stock Options,141516
401(k),134687
Remote Work,55423
Health Insurance,125274
Health Insurance,163171
Remote Work,103777
Paid Time Off,108461
Paid Time Off,76116
401(k),57910
401(k),182380
401(k),121762
401(k),157650
401(k),165360
Paid Time Off,55747
Remote Work,173131
401(k),116397
401(k),142334
401(k),56441
Paid Time Off,77399
Health Insurance,172956
Health Insurance,182171
401(k),64409
Remote Work,69557
Health Insurance,189985
401(k),69019
401(k),161950
401(k),83180
Paid Time Off,117065
Health Insurance,92927
401(k),100574
401(k),112292
Paid Time Off,115281
Paid Time Off,141495
401(k),77468
401(k),73493
Health Insurance,59776
Health Insurance,72389
401(k),146463
Stock Options,132325
Stock Options,140357
401(k),172192
Health Insurance,185363
Paid Time Off,124027
Health Insurance,176547
401(k),146394
401(k),156938
401(k),77122
Health Insurance,179738
Health Insurance,147054
401(k),198794
401(k),78445
Remote Work,103469
Stock Options,106296
Remote Work,191153
Health Insurance,62706
Paid Time Off,132499
Health Insurance,151109
Paid Time Off,141123
401(k),176245
401(k),99836
401(k),86916
Health Insurance,64619
Remote Work,160103
401(k),71277
401(k),128540
Stock Options,131721
Health Insurance,186999
401(k),139857
Health Insurance,121276
Remote Work,130220
401(k),131413
Remote Work,110599
Stock Options,188038
Health Insurance,123666
Remote Work,110721
Health Insurance,70902
401(k),92543
Health Insurance,189195
Paid Time Off,167878
401(k),66209
401(k),138195
Stock Options,189029
401(k),188784
Health Insurance,188398
Remote Work,165494
Stock Options,151909
